"name","lon","lat","category"
"Parc Komo",103.9703876,1.3611614,"Condominiums"
"Park Colonial",103.869075,1.337829,"Condominiums"
"Parkwood Residences",103.8757905,1.3666142,"Condominiums"
"PS100",103.8443705,1.2759018,"Condominiums"
"RESIDENCE TWENTY-TWO",103.9112699,1.3110725,"Condominiums"
"Rezi 24",103.8833672,1.3116226,"Condominiums"
"Rivercove Residences",103.8835135,1.392202,"Condominiums"
"Riverfront Residences",103.8998114,1.3700337,"Condominiums"
"Roberts Lane",103.8534497,1.3107673,"Condominiums"
"Sea Pavilion Residences",103.943164,1.315204,"Condominiums"
"Sengkang Grand Residences",103.8959819,1.3910846,"Condominiums"
"Smart House",103.83358,1.358586,"Condominiums"
"Stirling Residences",103.8046781,1.2919739,"Condominiums"
"Straits Mansions",103.907124,1.305384,"Condominiums"
"Sycamore Tree",103.9033222,1.3072014,"Condominiums"
"Tanjong Katong Road",103.8952083,1.3078724,"Condominiums"
"Tedge",103.9087417,1.3180989,"Condominiums"
"The Essence",103.84812,1.279817,"Condominiums"
"The Iveria",103.838722,1.2954694,"Condominiums"
"The Jovell",103.9655669,1.3581127,"Condominiums"
"The Navian",103.906094,1.32781,"Condominiums"
"The Tre Ver",103.8650603,1.3368522,"Condominiums"
"The Woodleigh Residences",103.8718923,1.3385873,"Condominiums"
"Treasure at Tampines",103.9473028,1.3448485,"Condominiums"
"Zion Road",103.8325997,1.2912554,"Condominiums"
"Klimt Cairnhill",103.8373289,1.3067162,"Condominiums"
"KI Residences at Brookvale",103.7675358,1.3305515,"Condominiums"
"Clavon",103.7538678,1.3362695,"Condominiums"
"Rymden 77",103.9114765,1.316501,"Condominiums"
"EDEN",103.8315557,1.3101904,"Condominiums"
"Fivenine",103.9096969,1.3129406,"Condominiums"
"REZI 35",103.8889126,1.3161167,"Condominiums"
"Artra",103.8166799,1.2900845,"Condominiums"
"Le Quest",103.7389336,1.3547787,"Condominiums"
"Clermont Residence",103.8452448,1.2762118,"Condominiums"
"Moulmein Green",103.8474828,1.3185331,"Condominiums"
"183 Longhaus",103.8355387,1.3509601,"Condominiums"
"24 One Residences",103.7847534,1.2803525,"Condominiums"
"Botanique At Bartley",103.8824425,1.3430496,"Condominiums"
"High Park Residences",103.8751829,1.3962832,"Condominiums"
"Hundred Palms Residences",103.877268,1.3729118,"Condominiums"
"iNZ Residence",103.7449371,1.3852086,"Condominiums"
"Lake Grande",103.7247315,1.3456345,"Condominiums"
"Northwave",103.8104939,1.4434111,"Condominiums"
"Roots @ Transit",103.8186828,1.4047879,"Condominiums"
"Stars Of Kovan",103.8871036,1.3617336,"Condominiums"
"The Enclave . Holland",103.799119,1.3122774,"Condominiums"
"The Ramford",103.9050472,1.3113656,"Condominiums"
"The Rise @ Oxley",103.8431027,1.2974406,"Condominiums"
"Ariva on Shan",103.8464829,1.325061,"Condominiums"
"70@truro",103.8489388,1.3146255,"Condominiums"
"Adana @ Thomson",103.8278365,1.3695119,"Condominiums"
"Bijou",103.7917043,1.2767818,"Condominiums"
"Coco Palms",103.9460503,1.3718145,"Condominiums"
"LIIV RESIDENCES",103.7766398,1.2885916,"Condominiums"
"M5",103.894397,1.333541,"Condominiums"
"Mega Woodlands",103.8067738,1.4378735,"Condominiums"
"Nine Degrees",103.8940306,1.3129727,"Condominiums"
"North Park Residences",103.8361008,1.4272393,"Condominiums"
"Parc Life",103.8187225,1.4441353,"Condominiums"
"Pavilion Square",103.8797812,1.3129521,"Condominiums"
"Principal Garden",103.8218065,1.2931547,"Condominiums"
"Sandy Eight",103.893197,1.312097,"Condominiums"
"Sol Acres",103.751295,1.3766511,"Condominiums"
"Symphony Suites",103.8448976,1.4347923,"Condominiums"
"The Criterion",103.8454096,1.4182199,"Condominiums"
"The Visionaire",103.8255651,1.4455513,"Condominiums"
"The Wisteria",103.8407518,1.4180753,"Condominiums"
"Thomson Impressions",103.8300637,1.359914,"Condominiums"
"TRE Residences",103.8846386,1.3171053,"Condominiums"
"Treasure Crest",103.892241,1.398639,"Condominiums"
"Trilive",103.8914145,1.3618372,"Condominiums"
"VIIO @ Balestier",103.8459236,1.3268632,"Condominiums"
"Wandervale",103.7496327,1.3833296,"Condominiums"
"Devonshire 8",103.8381232,1.2975103,"Condominiums"
"Opal East",103.9136164,1.3111398,"Condominiums"
"SUNDANCE SUITES",103.9062175,1.3093475,"Condominiums"
"Kaleido",103.9129072,1.313317,"Condominiums"
"Alex Residences",103.8187938,1.2906973,"Condominiums"
"Amber Skye",103.8981808,1.2994916,"Condominiums"
"Ascent @ 456",103.8484326,1.3265735,"Condominiums"
"Bellewaters",103.8913241,1.3988636,"Condominiums"
"Bellewoods",103.8007529,1.4327725,"Condominiums"
"d'Nest",103.9463657,1.3693223,"Condominiums"
"eCO",103.8531,1.30309,"Condominiums"
"Eon Shenton",103.846216,1.2739069,"Condominiums"
"Ferra",103.8102701,1.2913096,"Condominiums"
"Floraview",103.8503007,1.3914111,"Condominiums"
"Floraville",103.85134,1.3919333,"Condominiums"
"Goodwood Grand",103.833316,1.315408,"Condominiums"
"Guillemard Suites",103.8827284,1.3108467,"Condominiums"
"Hilbre 28",103.8748145,1.3606879,"Condominiums"
"Jade Residences",103.8780272,1.3491793,"Condominiums"
"Junction Nine",103.8415583,1.4331427,"Condominiums"
"Kingsford . Hillview Peak",103.7639636,1.3648602,"Condominiums"
"Liv On Wilkie",103.8487107,1.3025637,"Condominiums"
"Mayfair Residences",103.9143952,1.3096075,"Condominiums"
"Meyer Melodia",103.8865886,1.2981293,"Condominiums"
"Moulmein27",103.8460769,1.3194332,"Condominiums"
"One Duchess",103.808398,1.324968,"Condominiums"
